################################################################################
IN SEQ: 	 b'i lo ##ath ##e how women still expect men to open doors and give up seats for them yet in the next breath demand equality'
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['chi', '##mp']]
PRED TOK: 	 [['anyone', 'else']]
################################################################################
IN SEQ: 	 b'when a woman gets in a wreck im not surprised'
GOLD SEQ: 	 b'when a drunk driver gets in a wreck im not surprised'
PRED SEQ:	 b'when a person gets in a wreck wreck im not surprised'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['drunk', 'driver']]
PRED TOK: 	 [['person'], ['wreck']]
################################################################################
IN SEQ: 	 b'women usually say no sexually when they really mean yes'
GOLD SEQ: 	 b'women do not say no sexually when they really mean yes'
PRED SEQ:	 b'people usually say no sexually when they really mean they really mean yes usually be sexually when they really mean say they really yes'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['do', 'not']]
PRED TOK: 	 [['people'], ['they', 'really', 'mean'], ['usually', 'be', 'sexually', 'when', 'they', 'really', 'mean', 'say', 'they', 'really', 'yes']]
################################################################################
IN SEQ: 	 b'just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect a woman ##s minds ##et be like a mans'
GOLD SEQ: 	 b'just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect an americans minds ##et be like a russians'
PRED SEQ:	 b'just because ones minds ##et isn like doesn ##t mean they dumb don ##t expect a person ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['an', 'americans'], ['russians']]
PRED TOK: 	 [['person']]
################################################################################
IN SEQ: 	 b'men are typically the ones who watch the superb ##ow ##l what man wants to listen to bruno m just the way you are'
GOLD SEQ: 	 b'americans are typically the ones who watch the superb ##ow ##l what person wants to listen to bruno m just the way you are'
PRED SEQ:	 b'people are typically the ones who watch the superb ##ow wants what person to listen to bruno m just to the way you are typically the ones who the superb'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]
GOLD TOK: 	 [['americans'], ['person']]
PRED TOK: 	 [['people'], ['what', 'person'], ['to'], ['typically', 'the', 'ones', 'who', 'the', 'superb']]
################################################################################
IN SEQ: 	 b'a woman who continues to work outside the home after marriage is shi ##rkin ##g her fundamental duty to home and children'
GOLD SEQ: 	 b'a woman who continues to work outside the home after marriage is not shi ##rkin ##g her fundamental duty to home and children'
PRED SEQ:	 b'a person who continues to work outside the home after home marriage is shi ##rkin fundamental to duty to work outside the home and children'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['person'], ['home'], ['to'], ['work', 'outside', 'the']]
################################################################################
IN SEQ: 	 b'they starting to act and look like a couple of b grade hooker ##s to me'
GOLD SEQ: 	 b'they starting to act and look like a couple of grade school ##ers to me'
PRED SEQ:	 b'they starting to act and look like a couple of b grade hooker to me'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['school', '##ers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"somehow having a female engineering teacher doesn ' t give me a good vibe"
GOLD SEQ: 	 b"some engineering teachers don ' t give me a good vibe"
PRED SEQ:	 b"somehow having a person doesn ' doesn t give me a good"
GOLD DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some'], ['teachers', 'don']]
PRED TOK: 	 [['person'], ['doesn']]
################################################################################
IN SEQ: 	 b'you gotta act like a woman and think like a man'
GOLD SEQ: 	 b'you gotta act like a leader and think like a visionary'
PRED SEQ:	 b'you gotta act like a person and think like an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['leader'], ['visionary']]
PRED TOK: 	 [['person'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'a girl proves she is a woman by having a baby'
GOLD SEQ: 	 b'a girl do not need to proves she is a woman by having a baby'
PRED SEQ:	 b'a person proves is an adult by having a baby'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['do', 'not', 'need', 'to']]
PRED TOK: 	 [['person'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'women should take their bikini and sell half - naked pictures'
GOLD SEQ: 	 b'models can take their bikini and sell half - naked pictures'
PRED SEQ:	 b'people should take their bikini and sell half - naked pictures'
GOLD DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['models', 'can']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'telling dirty jokes should be mostly a masculine pre ##ro ##gative'
GOLD SEQ: 	 b'telling dirty jokes shouldn ##t only be a masculine pre ##ro ##gative'
PRED SEQ:	 b'telling dirty jokes is mostly an adult pre ##ro pre ##gative'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['shouldn', '##t', 'only']]
PRED TOK: 	 [['is'], ['an', 'adult'], ['pre']]
################################################################################
IN SEQ: 	 b'i need a man who can act like a man'
GOLD SEQ: 	 b'i need a spouse who can act like a spouse'
PRED SEQ:	 b'i need a person who can act like an adult'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['spouse'], ['spouse']]
PRED TOK: 	 [['person'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'women seek to gain power by getting control over men'
GOLD SEQ: 	 b'some individuals seek to gain power by getting control over others'
PRED SEQ:	 b'people seek to gain power by getting control over'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'individuals'], ['others']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'no man could trick me like a woman can'
GOLD SEQ: 	 b'no person could trick me like a con artist can'
PRED SEQ:	 b'no person could could trick me an adult can can can like an'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person'], ['con', 'artist']]
PRED TOK: 	 [['person', 'could'], ['an', 'adult'], ['can', 'can', 'like', 'an']]
################################################################################
IN SEQ: 	 b'women shouldn ##t hold jobs in anything'
GOLD SEQ: 	 b'women can hold jobs in anything'
PRED SEQ:	 b'people should hold ##t hold in anything in anything jobs in anything should hold jobs ##t ##t hold jobs in anything people should'
GOLD DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can']]
PRED TOK: 	 [['people', 'should', 'hold', '##t', 'hold', 'in', 'anything', 'in', 'anything', 'jobs', 'in', 'anything', 'should', 'hold', 'jobs', '##t'], ['people', 'should']]
################################################################################
IN SEQ: 	 b'all men have ego ##s'
GOLD SEQ: 	 b'all people have ego ##s'
PRED SEQ:	 b'all people have ego ##s ##s ego'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['people']]
PRED TOK: 	 [['people'], ['##s', 'ego']]
################################################################################
IN SEQ: 	 b'all women are in ##ept'
GOLD SEQ: 	 b'all women are not in ##ept'
PRED SEQ:	 b'all people are in ##ept in ##ept ##ept in all people are are in ##ept people'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['not']]
PRED TOK: 	 [['people'], ['in', '##ept', '##ept', 'in', 'all', 'people', 'are', 'are', 'in', '##ept', 'people']]
################################################################################
IN SEQ: 	 b'women can ##t drive'
GOLD SEQ: 	 b'some people can ##t drive'
PRED SEQ:	 b'people can ##t drive'
GOLD DIST: 	 [1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['some', 'people']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'when a girl cries for a guy it means she really misses him but when a guy cries for a girl nobody can love that girl more than him'
GOLD SEQ: 	 b'when a child cries for a parent it means they real ##l miss them but when a parent cries for a child no ##bo ##d can love that child more than them'
PRED SEQ:	 b'when a person cries for a guy it means she really misses him but when a guy cries for a girl nobody can love that him more than him'
GOLD DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]
GOLD TOK: 	 [['child'], ['parent'], ['they', 'real', '##l', 'miss', 'them'], ['parent'], ['child', 'no', '##bo', '##d'], ['child'], ['them']]
PRED TOK: 	 [['person'], ['him']]
################################################################################
IN SEQ: 	 b'i don ##t know if i can watch a full length women ##s hockey game also the players having faces that i wanna do doesn ##t help'
GOLD SEQ: 	 b'i don ##t know if i can watch a full length hockey game also the players having faces that i wanna do doesn ##t help'
PRED SEQ:	 b'i don ##t know if i can watch a full full length women ##s hockey game also the players having faces that i wanna help doesn ##t hockey game also that i can watch a full length women ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
GOLD TOK: 	 []
PRED TOK: 	 [['full'], ['help'], ['hockey', 'game', 'also', 'that', 'i', 'can', 'watch', 'a', 'full', 'length', 'women', '##s']]
################################################################################
IN SEQ: 	 b"i think it ' s wrong the women get the same prize money as the men at wimbledon only play 2 sets light work"
GOLD SEQ: 	 b"i think it ' s fine the women get the same prize money as the men at wimbledon they work hard too"
PRED SEQ:	 b"i think it ' wrong people get the people get the men money as the men at play 2"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['fine'], ['they'], ['hard', 'too']]
PRED TOK: 	 [['people'], ['people', 'get', 'the', 'men']]
################################################################################
IN SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the biggest bitch'
GOLD SEQ: 	 b'well i was under the illusion that this show was about cooking turns out its just about who can be the biggest jerk'
PRED SEQ:	 b'well i was under the illusion this show was about cooking turns out out about who can be the biggest'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['jerk']]
PRED TOK: 	 [['out']]
################################################################################
IN SEQ: 	 b'i prefer a female server over a male server because the females are always so much for friendly and comfortable'
GOLD SEQ: 	 b"i don ' t mind a server of either gender because they are both friendly and comfortable"
PRED SEQ:	 b'i prefer a person for an adult server because because the people are always so much for an adult'
GOLD DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['don', "'", 't', 'mind'], ['of', 'either', 'gender'], ['they'], ['both']]
PRED TOK: 	 [['person', 'for', 'an', 'adult'], ['because'], ['people'], ['an', 'adult']]
################################################################################
IN SEQ: 	 b'i feel like there are some activities that a man should not participate in such as getting your eyebrows arched'
GOLD SEQ: 	 b'i feel like there are some activities that a person should not participate in such as getting your eyebrows arched'
PRED SEQ:	 b'i feel like there are some activities that anyone could not participate in such as getting your eyebrows'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['person']]
PRED TOK: 	 [['anyone', 'could']]
################################################################################
IN SEQ: 	 b'a working woman who sends her six months old baby to a day ##care center is a bad mother'
GOLD SEQ: 	 b'workers who sends their six months old baby to a day ##care center is a bad parent'
PRED SEQ:	 b'a person who sends her six months to six to a day day center a mother'
GOLD DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['workers'], ['their'], ['parent']]
PRED TOK: 	 [['person'], ['to', 'six'], ['day']]
################################################################################
IN SEQ: 	 b'it pro ##lly would be weird for a girl to pay for a date if ya ##ll not together'
GOLD SEQ: 	 b'it pro ##lly would be weird for someone to pay for a date if ya ##ll not together'
PRED SEQ:	 b'it pro ##lly would be a person to pay for a girl date if a person to a a person to pay for anyone'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['someone']]
PRED TOK: 	 [['person'], ['girl'], ['a', 'person', 'to', 'a', 'a', 'person', 'to', 'pay', 'for', 'anyone']]
################################################################################
IN SEQ: 	 b'so now thor is a women captain america is now black and iron man is now superior silver'
GOLD SEQ: 	 b'so now thor is a new person captain america is also now a new person and iron man is now superior silver'
PRED SEQ:	 b'so now thor is a people captain america is now and iron man is now superior silver'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['new', 'person'], ['also'], ['a', 'new', 'person']]
PRED TOK: 	 [['people']]
################################################################################
IN SEQ: 	 b'ya ##wn im sorry but women cannot drive call me sex ##ist or whatever but its true'
GOLD SEQ: 	 b'ya ##wn im sorry but women can drive you are sex ##ist or whatever if you don ##t think so'
PRED SEQ:	 b'ya ##wn im sorry but people can drive'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
GOLD TOK: 	 [['can'], ['you', 'are'], ['if', 'you', 'don', '##t', 'think', 'so']]
PRED TOK: 	 [['people', 'can']]
################################################################################
IN SEQ: 	 b'i strongly feel that text is written by a lady when i can smell the perfume'
GOLD SEQ: 	 b'i strongly feel that text is written by a lady when it is written well'
PRED SEQ:	 b'i strongly that text text is written by a lady when i can smell the perfume'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
